"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9600,"Pit@Phi 04:25PM ET",21.750,"Pit"
"WR","Julio Jones",9500,"Atl@NO 08:30PM ET",20.600,"Atl"
"WR","Odell Beckham Jr.",9100,"Was@NYG 01:00PM ET",13.950,"NYG"
"WR","DeAndre Hopkins",8600,"Hou@NE 08:25PM ET",21.850,"Hou"
"WR","Dez Bryant",8400,"Chi@Dal 08:30PM ET",11.000,"Dal"
"WR","A.J. Green",8100,"Den@Cin 01:00PM ET",22.400,"Cin"
"WR","Alshon Jeffery",8000,"Chi@Dal 08:30PM ET",16.050,"Chi"
"QB","Drew Brees",7900,"Atl@NO 08:30PM ET",24.970,"NO"
"WR","Brandin Cooks",7900,"Atl@NO 08:30PM ET",25.100,"NO"
"QB","Cam Newton",7800,"Min@Car 01:00PM ET",28.490,"Car"
"RB","David Johnson",7700,"Ari@Buf 01:00PM ET",20.250,"Ari"
"WR","Amari Cooper",7700,"Oak@Ten 01:00PM ET",18.400,"Oak"
"QB","Aaron Rodgers",7700,"Det@GB 01:00PM ET",21.490,"GB"
"QB","Andrew Luck",7600,"SD@Ind 04:25PM ET",25.290,"Ind"
"WR","Allen Robinson",7500,"Bal@Jax 01:00PM ET",10.800,"Jax"
"RB","DeAngelo Williams",7500,"Pit@Phi 04:25PM ET",30.650,"Pit"
"WR","Jordy Nelson",7400,"Det@GB 01:00PM ET",16.750,"GB"
"QB","Matt Ryan",7400,"Atl@NO 08:30PM ET",29.600,"Atl"
"WR","Randall Cobb",7300,"Det@GB 01:00PM ET",11.050,"GB"
"RB","C.J. Anderson",7300,"Den@Cin 01:00PM ET",24.100,"Den"
"WR","Brandon Marshall",7300,"NYJ@KC 04:25PM ET",12.650,"NYJ"
"QB","Ben Roethlisberger",7300,"Pit@Phi 04:25PM ET",23.780,"Pit"
"RB","Lamar Miller",7200,"Hou@NE 08:25PM ET",15.200,"Hou"
"QB","Carson Palmer",7200,"Ari@Buf 01:00PM ET",23.050,"Ari"
"WR","Kelvin Benjamin",7200,"Min@Car 01:00PM ET",26.950,"Car"
"RB","Todd Gurley",7100,"LA@TB 04:05PM ET",6.600,"LA"
"QB","Russell Wilson",7100,"SF@Sea 04:05PM ET",12.740,"Sea"
"WR","Jordan Matthews",7100,"Pit@Phi 04:25PM ET",20.250,"Phi"
"QB","Eli Manning",7000,"Was@NYG 01:00PM ET",17.800,"NYG"
"WR","Mike Evans",7000,"LA@TB 04:05PM ET",19.950,"TB"
"RB","Matt Forte",7000,"NYJ@KC 04:25PM ET",27.200,"NYJ"
"WR","Larry Fitzgerald",6900,"Ari@Buf 01:00PM ET",23.600,"Ari"
"QB","Derek Carr",6900,"Oak@Ten 01:00PM ET",25.160,"Oak"
"WR","Eric Decker",6900,"NYJ@KC 04:25PM ET",19.650,"NYJ"
"RB","Ezekiel Elliott",6900,"Chi@Dal 08:30PM ET",13.950,"Dal"
"TE","Rob Gronkowski",6800,"Hou@NE 08:25PM ET",0,"NE"
"QB","Matthew Stafford",6800,"Det@GB 01:00PM ET",22.800,"Det"
"WR","T.Y. Hilton",6800,"SD@Ind 04:25PM ET",11.000,"Ind"
"RB","Adrian Peterson",6700,"Min@Car 01:00PM ET",3.850,"Min"
"QB","Philip Rivers",6700,"SD@Ind 04:25PM ET",19.710,"SD"
"WR","Donte Moncrief",6700,"SD@Ind 04:25PM ET",10.150,"Ind"
"WR","Jarvis Landry",6600,"Cle@Mia 01:00PM ET",19.200,"Mia"
"RB","LeSean McCoy",6500,"Ari@Buf 01:00PM ET",15.000,"Buf"
"TE","Jordan Reed",6500,"Was@NYG 01:00PM ET",12.700,"Was"
"QB","Blake Bortles",6500,"Bal@Jax 01:00PM ET",21.780,"Jax"
"WR","Willie Snead",6500,"Atl@NO 08:30PM ET",25.800,"NO"
"WR","Julian Edelman",6400,"Hou@NE 08:25PM ET",14.900,"NE"
"QB","Kirk Cousins",6400,"Was@NYG 01:00PM ET",18.760,"Was"
"WR","Demaryius Thomas",6400,"Den@Cin 01:00PM ET",12.400,"Den"
"RB","DeMarco Murray",6300,"Oak@Ten 01:00PM ET",22.600,"Ten"
"WR","Doug Baldwin",6300,"SF@Sea 04:05PM ET",14.600,"Sea"
"QB","Ryan Tannehill",6200,"Cle@Mia 01:00PM ET",21.560,"Mia"
"WR","Marvin Jones Jr.",6200,"Det@GB 01:00PM ET",17.650,"Det"
"WR","Sammy Watkins",6100,"Ari@Buf 01:00PM ET",6.150,"Buf"
"QB","Joe Flacco",6100,"Bal@Jax 01:00PM ET",17.100,"Bal"
"RB","Eddie Lacy",6100,"Det@GB 01:00PM ET",6.900,"GB"
"QB","Brock Osweiler",6000,"Hou@NE 08:25PM ET",15.030,"Hou"
"WR","Michael Crabtree",6000,"Oak@Ten 01:00PM ET",15.400,"Oak"
"WR","Emmanuel Sanders",6000,"Den@Cin 01:00PM ET",8.400,"Den"
"QB","Jameis Winston",6000,"LA@TB 04:05PM ET",18.080,"TB"
"WR","Jeremy Maclin",6000,"NYJ@KC 04:25PM ET",15.000,"KC"
"QB","Tony Romo",6000,"Chi@Dal 08:30PM ET",0,"Dal"
