playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","null","182","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0.3693","null","null","null","165","null","null","0.0339","null","null","null","0.7255","0","4.3073","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","null","103","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","2.5057","null","null","null","119","null","null","0.0106","null","null","null","3.9655","0.4179","7.7156","null",
"230","null","Jerome Felton","RB","FA","RB","FA","null","0.1349","null","null","null","132","null","null","0.0286","null","null","null","0.2176","0","null","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","17.5492","null","null","null","3","null","null","1.4301","null","null","null","21.234","12.61","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.208","null","null","null","56","null","null","0.0353","null","null","null","0.354","0.066","3.9058","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","4.3922","null","null","null","71","null","null","0.3208","null","null","null","5.6447","2.7123","4.2023","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","75","null","null","0","null","null","null","0","0","3.7212","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","138","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.7546","null","null","null","9","null","null","0.6007","null","null","null","20.3031","17.272","5.0802","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","182","null","null","0","null","null","null","0","0","3.3024","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","9.1937","null","null","null","11","null","null","0.1239","null","null","null","10.637","6.17","6.5679","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0.0045","null","null","null","72","null","null","0.002","null","null","null","0.0068","0","3.7278","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.6528","null","null","null","21","null","null","1.5073","null","null","null","17.0737","15.656","4.6166","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","182","null","null","0","null","null","null","0","0","3.3024","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","10.3387","null","null","null","31","null","null","0.2655","null","null","null","9.1313","8.89","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","12.5845","null","null","null","19","null","null","0.3726","null","null","null","14.8723","9.84","4.5847","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","null","138","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","5.6981","null","null","null","58","null","null","0.1184","null","null","null","8.9727","0","null","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","null","182","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","17.2422","null","null","null","5","null","null","0.4651","null","null","null","18.6394","12.6645","5.6906","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","11.5282","null","null","null","5","null","null","0.1216","null","null","null","14.4253","9.24","7.2852","null",
