"Player","Pos","Team","Opp","DvP","Salary","Floor","Ceiling","Avg_2015","FC.Proj","My.Proj","Cons","Value","A.Score","A.Val","Own"
"A.J. Green","WR","CIN","@ NYJ",25,8400,6.2,38.3,17.9,21.14,16.93,41,2.02,39,4.6,4.42
"Andrew Luck","QB","IND","vs DET",18,8300,12.8,39.2,21.4,22.87,21.57,62,2.6,38.5,4.6,4.11
"Brandin Cooks","WR","NO","vs OAK",24,7700,9,34.2,16.6,17.51,17.4,46,2.26,36.4,4.7,7.41
"Spencer Ware","RB","KC","vs SD",16,4400,6.4,27.4,10.9,14.85,13.42,38,3.05,35.9,8.2,27.03
"Drew Brees","QB","NO","vs OAK",12,8100,12,36.6,23.1,23.09,20.21,63,2.5,35.42,4.4,7.48
"Willie Snead","WR","NO","vs OAK",24,4800,6.5,27.2,12.7,9.26,13.38,46,2.79,35.2,7.3,10.08
"Alex Smith","QB","KC","vs SD",3,6500,14.3,28.7,17.6,14.91,19.14,71,2.94,32.02,4.9,1.23
"Matthew Stafford","QB","DET","@ IND",15,7200,10.8,35.1,19.7,20.52,18.88,56,2.62,29.1,4,8.29
"Larry Fitzgerald","WR","ARI","vs NE",5,6300,5.4,34.8,18.2,13.02,15.16,35,2.41,28.1,4.5,4.85
"Theo Riddick","RB","DET","@ IND",22,4000,5.7,23.7,11.3,6.66,11.68,36,2.92,27.8,7,3.2
"Jordan Matthews","WR","PHI","vs CLE",16,6700,2.7,31.8,15.2,13.99,12.42,32,1.85,27.4,4.1,2.51
"Matt Ryan","QB","ATL","vs TB",32,7100,11.8,31.3,16.9,19.53,18.34,65,2.58,27.36,3.9,2.94
"Jameis Winston","QB","TB","@ ATL",2,6600,13.9,26.2,18.6,19.26,18,78,2.73,26.54,4,4.68
"Derek Carr","QB","OAK","@ NO",26,7300,12.6,36.3,19.1,22.27,20.47,51,2.8,25.36,3.5,11.88
"Will Fuller","WR","HOU","vs CHI",12,3700,2.5,15,NA,8.08,9.99,0,2.7,24.7,6.7,4.83
"Amari Cooper","WR","OAK","@ NO",22,7200,8.7,38.4,14.3,18.3,18.56,31,2.58,24.7,3.4,20.19
"Doug Baldwin","WR","SEA","vs MIA",18,6600,7.1,35,17.4,15.81,16.38,35,2.48,24.2,3.7,10.19
"DeMarco Murray","RB","TEN","vs MIN",13,5300,3.5,31.4,12.6,12.27,12.8,51,2.42,23.7,4.5,7.39
"Aaron Rodgers","QB","GB","@ JAC",30,8500,12,37.8,20.1,23.69,20.56,60,2.42,23.56,2.8,6.5
"David Johnson","RB","ARI","vs NE",20,7500,7.8,39.3,13.7,21.08,18.33,28,2.44,23.2,3.1,8.3
"Ameer Abdullah","RB","DET","@ IND",22,4900,4.5,19.2,7.4,11.65,9.45,34,1.93,23,4.7,2.27
"Danny Woodhead","RB","SD","@ KC",15,5000,1.8,30.9,15.3,10.57,11.51,28,2.3,23,4.6,3.23
"Andy Dalton","QB","CIN","@ NYJ",21,6800,6.7,31.6,20.4,17.69,15.01,53,2.21,21.34,3.1,1.48
"Vikings","DST","MIN","@ TEN",26,3100,3.2,21.2,8.8,7.94,9.18,25,2.96,21,6.8,5.95
"Mohamed Sanu","WR","ATL","vs TB",27,5100,2.4,24.4,5.7,7.3,9.75,14,1.91,21,4.1,3.14
"Mike Evans","WR","TB","@ ATL",4,7400,7.7,36.8,15.1,21.48,17.36,39,2.35,20.9,2.8,7.87
"Matt Forte","RB","NYJ","vs CIN",8,6100,5.2,31.2,16.8,13.4,13.85,57,2.27,20.5,3.4,4.01
"Stefon Diggs","WR","MIN","@ TEN",32,4800,4.2,28,11.9,10.29,12.15,32,2.53,20.2,4.2,4.55
