"Name","FP","Pos","Team","Salary","Avg","Game","Time","Rnk","Drop","Ceiling","Floor","Risk","index"
"Falcons ",4.8038,"DST","ATL",2000,0.5,"Atl@NO","08:30PM",32,"null",5.6049,3.4,"2.3114","100001"
"Ravens ",6.8366,"DST","BAL",2500,9,"Bal@Jax","01:00PM",20,"0.0733",8.1605,4.5,"4.7367","100002"
"Bills ",5.7778,"DST","BUF",2700,7.5,"Ari@Buf","01:00PM",30,"0.7011",6.4041,5.3,"4.7516","100003"
"Panthers ",9.831,"DST","CAR",3800,11,"Min@Car","01:00PM",1,"0.6918",10.815,7.2,"4.4098","100004"
"Bears ",7.0572,"DST","CHI",2700,5.5,"Chi@Dal","08:30PM",14,"0.0068",8.6255,4.8,"6.2825","100005"
"Bengals ",8.3326,"DST","CIN",2800,5,"Den@Cin","01:00PM",5,"0.2491",8.7337,6.4,"4.7306","100006"
"Browns ",6.3432,"DST","CLE",2300,3,"Cle@Mia","01:00PM",26,"0.0716",6.755,4.9,"5.011","100007"
"Cowboys ",6.3588,"DST","DAL",2500,4.5,"Chi@Dal","08:30PM",25,"0.0491",6.5544,4.6,"5.6445","100008"
"Broncos ",7.4445,"DST","DEN",3500,14,"Den@Cin","01:00PM",10,"0.0749",8.09,4.2,"4.4242","100009"
"Lions ",6.7234,"DST","DET",2400,4,"Det@GB","01:00PM",23,"0.2602",6.8003,6.3,"3.2563","100010"
"Packers ",8.767,"DST","GB",3000,6,"Det@GB","01:00PM",3,"0.432",8.685,7.8,"3.1404","100011"
"Titans ",5.8055,"DST","TEN",2500,7,"Oak@Ten","01:00PM",29,"0.2417",6.4825,3.3,"5.9928","100012"
"Texans ",7.0557,"DST","HOU",3000,11,"Hou@NE","08:25PM",15,"0.0396",7.4859,6.3,"3.2418","100013"
"Colts ",6.9128,"DST","IND",2400,0,"SD@Ind","04:25PM",19,"0.1039",6.795,5.9,"4.2399","100014"
"Jaguars ",6.9874,"DST","JAX",2600,1,"Bal@Jax","01:00PM",17,"0.0387",7.365,6,"2.1227","100015"
"Chiefs ",7.8519,"DST","KC",3200,4,"NYJ@KC","04:25PM",8,"0.212",10.4021,4.2,"7.3124","100016"
"Rams ",9.5114,"DST","LA",3000,6,"LA@TB","04:05PM",2,"0.9591",11.1143,7.3,"7.4563","100017"
"Raiders ",6.9845,"DST","OAK",2600,0.5,"Oak@Ten","01:00PM",18,"0.1098",7.92,4.6,"4.9916","100018"
"Dolphins ",7.9864,"DST","MIA",3000,8,"Cle@Mia","01:00PM",7,"0.1429",10.9021,3,"8.6979","100019"
"Vikings ",8.1807,"DST","MIN",3100,16.5,"Min@Car","01:00PM",6,"0.2615",12.3024,4.2,"8.5652","100020"
"Patriots ",7.045,"DST","NE",3200,5.5,"Hou@NE","08:25PM",16,"0.0591",7.7779,6.2,"2.7134","100021"
"Saints ",6.2763,"DST","NO",2200,2.5,"Atl@NO","08:30PM",27,"0.2401",6.2674,4,"2.7433","100022"
"Giants ",6.7455,"DST","NYG",3300,7.5,"Was@NYG","01:00PM",22,"0.1",7.095,4.2642,"6.3764","100023"
"Jets ",6.7813,"DST","NYJ",2900,5.5,"NYJ@KC","04:25PM",21,"0.0468",7.7895,2.2642,"6.5255","100024"
"Eagles ",7.2376,"DST","PHI",2800,10.5,"Pit@Phi","04:25PM",13,"0.1812",7.1575,4.2611,"6.7408","100025"
"Cardinals ",8.3375,"DST","ARI",3600,14.5,"Ari@Buf","01:00PM",4,"0.0808",8.7294,4.2,"4.8597","100026"
"Steelers ",7.351,"DST","PIT",2900,5.5,"Pit@Phi","04:25PM",12,"0.2036",7.793,4.2,"4.3515","100027"
"Chargers ",6.5676,"DST","SD",2300,6.5,"SD@Ind","04:25PM",24,"0.2166",7.3895,4.9,"5.3822","100028"
"49ers ",5.3497,"DST","SF",2400,11.5,"SF@Sea","04:05PM",31,"0.5459",6.1233,3.8,"9.2553","100029"
"Seahawks ",7.8353,"DST","SEA",4100,9,"SF@Sea","04:05PM",9,"0.4189",8.53,6.3,"0.5226","100030"
"Buccaneers ",7.3882,"DST","TB",3100,1.5,"LA@TB","04:05PM",11,"0.0938",7.4435,5.3,"4.6429","100031"
"Redskins ",6.2669,"DST","WAS",2400,2.5,"Was@NYG","01:00PM",28,"0.4752",7.33,3.3832,"4.5668","100032"
"Jordy Nelson",17.2422,"WR","GB",7400,16.75,"Det@GB","01:00PM",5,"0.4651",18.6394,12.6645,"5.6906","1032"
"Joe Webb",0,"QB","CAR",5000,0,"Min@Car","01:00PM",75,"0",0,0,"3.7212","1037347"
"Marc Mariani",0.2816,"WR","TEN",3000,0,"Oak@Ten","01:00PM",170,"0.0206",0.6886,0,"4.3329","1037885"
"Gary Barnidge",11.5282,"TE","CLE",4000,3.85,"Cle@Mia","01:00PM",5,"0.1216",14.4253,9.24,"7.2852","1060"
"Martellus Bennett",9.0686,"TE","NE",4700,14.9,"Hou@NE","08:25PM",13,"0.0503",10.891,7.07,"7.6326","1062"
"DeSean Jackson",12.5351,"WR","WAS",5900,13.1,"Was@NYG","01:00PM",35,"0.4515",13.1425,10.6728,"5.1902","1581"
"Eddie Royal",7.8347,"WR","CHI",3500,15.45,"Chi@Dal","08:30PM",71,"0.1786",9.6575,4.72,"6.5842","1990"
"Harry Douglas",2.5057,"WR","TEN",3000,2.05,"Oak@Ten","01:00PM",119,"0.0106",3.9655,0.4179,"7.7156","222"
"Matt Forte",17.5492,"RB","NYJ",7000,27.2,"NYJ@KC","04:25PM",3,"1.4301",21.234,12.61,"null","234"
"Pierre Garcon",9.8508,"WR","WAS",3900,7.8,"Was@NYG","01:00PM",48,"0.0418",10.6455,8.3487,"4.7295","2346"
"Zach Miller",9.0537,"TE","CHI",2900,5.85,"Chi@Dal","08:30PM",14,"0.0738",9.7138,6.3031,"5.2766","238457"
"Julian Edelman",13.3574,"WR","NE",6400,14.9,"Hou@NE","08:25PM",30,"0.3269",14.1591,11.7718,"4.9799","238498"
"Charles Clay",8.746,"TE","BUF",2900,6.85,"Ari@Buf","01:00PM",19,"0.2922",9.7407,7.06,"5.3329","2495139"
"Andy Dalton",14.6583,"QB","CIN",5700,21.84,"Den@Cin","01:00PM",24,"0.7088",15.6571,13.128,"5.3577","2495143"
"Dwayne Harris",1.7732,"WR","NYG",3000,0,"Was@NYG","01:00PM",128,"0.1092",2.7897,0,"2.6325","2495159"
"Colin Kaepernick",1.3064,"QB","SF",5000,0,"SF@Sea","04:05PM",41,"0.0966",2.4072,0.19,"5.3778","2495186"
"Lance Kendricks",5.5821,"TE","LA",2700,6.8,"LA@TB","04:05PM",34,"0.1747",6.1017,4.7117,"4.3529","2495187"
"Jeremy Kerley",7.0251,"WR","SF",3400,9.5,"SF@Sea","04:05PM",76,"0.134",8.6327,3.43,"6.6945","2495189"
"DeMarco Murray",13.937,"RB","TEN",6300,22.6,"Oak@Ten","01:00PM",11,"0.1859",14.7992,12.11,"2.9913","2495207"
"Niles Paul",1.2151,"TE","WAS",2500,1.3,"Was@NYG","01:00PM",69,"0.1241",1.8136,0.43,"5.9877","2495211"
"Christian Ponder",0,"QB","SF",5000,0,"SF@Sea","04:05PM",75,"0",0,0,"3.7212","2495215"
"Greg Salas",3.7128,"WR","BUF",3000,9.45,"Ari@Buf","01:00PM",104,"0.1743",5.1092,1.01,"6.1087","2495223"
"Luke Stocker",0.5949,"TE","TB",2500,0,"LA@TB","04:05PM",84,"0.0326",0.689,0.42,"3.3238","2495234"
"Tyrod Taylor",16.9176,"QB","BUF",5800,15.46,"Ari@Buf","01:00PM",18,"0.151",17.8256,15.34,"5.1617","2495240"
"Matt Asiata",7.6696,"RB","MIN",3000,2.4,"Min@Car","01:00PM",44,"0.0565",9.0703,3.76,"5.5407","2495258"
"Jordan Cameron",7.7173,"TE","MIA",2900,9.25,"Cle@Mia","01:00PM",23,"0.5884",7.8216,5.7882,"4.7984","2495267"
"Virgil Green",6.4782,"TE","DEN",3000,7.2,"Den@Cin","01:00PM",27,"0.1091",7.015,4.0792,"5.9162","2495288"
"Bilal Powell",6.5922,"RB","NYJ",3400,4.05,"NYJ@KC","04:25PM",50,"0.0693",8.228,4.6236,"4.0111","2495328"
"Aldrick Robinson",1.6951,"WR","ATL",3000,3.45,"Atl@NO","08:30PM",129,"0.0799",2.3236,1.07,"6.6541","2495331"
"Anthony Sherman",0.2119,"RB","KC",3000,0,"NYJ@KC","04:25PM",128,"0.0121",0.3305,0,"4.6484","2495340"
"Cecil Shorts III",2.5981,"WR","TB",3000,1.1,"LA@TB","04:05PM",115,"0.0684",3.5678,0.3779,"5.68","2495341"
"Lee Smith",2.8201,"TE","OAK",2500,3.2,"Oak@Ten","01:00PM",53,"0.2879",3.1858,1.9021,"5.174","2495347"
"Julius Thomas",11.0858,"TE","JAX",4600,14.25,"Bal@Jax","01:00PM",9,"0.9621",12.7081,9.55,"5.2471","2495353"
"Scott Tolzien",0.3497,"QB","IND",5000,0,"SD@Ind","04:25PM",51,"0.0751",0.6768,0.008,"4.2029","2495425"
"Kyle Rudolph",8.9235,"TE","MIN",3100,11.3,"Min@Car","01:00PM",17,"0.1451",10.4054,7,"5.6467","2495438"
"Blaine Gabbert",13.4549,"QB","SF",5000,18.61,"SF@Sea","04:05PM",26,"0.3988",15.4703,11.39,"4.8843","2495441"
"Ryan Mallett",0.0492,"QB","BAL",5000,0,"Bal@Jax","01:00PM",67,"0.0053",0.4254,-0.72,"4.3612","2495443"
"Randall Cobb",13.7629,"WR","GB",7300,11.05,"Det@GB","01:00PM",26,"0.2093",14.7686,10.67,"5.1425","2495448"
"A.J. Green",15.3889,"WR","CIN",8100,22.4,"Den@Cin","01:00PM",15,"0.097",16.7059,11.7552,"5.4436","2495450"
"Andre Holmes",3.6533,"WR","OAK",3000,3.8,"Oak@Ten","01:00PM",105,"0.2512",4.6584,2.4,"5.8458","2495453"
"Julio Jones",21.2182,"WR","ATL",9500,20.6,"Atl@NO","08:30PM",2,"2.3716",23.2536,16.8282,"8.1986","2495454"
"Cam Newton",22.3954,"QB","CAR",7800,28.49,"Min@Car","01:00PM",1,"0.6653",22.8144,19.26,"4.47","2495455"
"Torrey Smith",10.2104,"WR","SF",4300,8.9,"SF@Sea","04:05PM",45,"0.145",11.4414,7.6262,"6.0933","2495459"
"Shaun Draughn",5.319,"RB","SF",3400,6.35,"SF@Sea","04:05PM",62,"0.1003",6.326,2.7973,"4.266","2495461"
"Mark Ingram",16.0993,"RB","NO",5900,9.7,"Atl@NO","08:30PM",5,"0.3894",17.629,13.31,"2.8001","2495466"
"Taiwan Jones",1.4605,"RB","OAK",3000,1.45,"Oak@Ten","01:00PM",97,"0.0304",2.6453,0,"7.4528","2495467"
"Jordan Todman",0.8743,"RB","IND",3000,0,"SD@Ind","04:25PM",106,"0.0364",1.701,0,"4.3298","2495472"
"Shane Vereen",10.6487,"RB","NYG",3700,8.85,"Was@NYG","01:00PM",29,"0.2668",11.5533,7.8004,"4.7759","2495473"
"Clark Harris",0,"TE","CIN",2500,0,"Den@Cin","01:00PM",103,"0",0,0,"null","2495620"
"Greg Olsen",12.8673,"TE","CAR",5800,20.25,"Min@Car","01:00PM",3,"0.9378",13.5034,9.8321,"4.2015","2495700"
"Drew Stanton",1.1504,"QB","ARI",5000,0.44,"Ari@Buf","01:00PM",43,"0.3948",2.0377,0.092,"4.9496","2495748"
"Jay Cutler",9.0816,"QB","CHI",5600,8.56,"Chi@Dal","08:30PM",32,"0.2196",14.923,0,"13.9234","2495824"
"Vernon Davis",3.7292,"TE","WAS",2700,6.55,"Was@NYG","01:00PM",44,"0.0556",4.5232,2.7476,"4.7801","2495826"
"Anthony Fasano",1.1171,"TE","TEN",2500,0.55,"Oak@Ten","01:00PM",70,"0.0634",1.9264,0.38,"6.3036","2495835"
