playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Andre Caldwell,WR,DET,WR,DET,null,0.3693,null,null,null,175,null,null,0.0124,null,null,null,0.7255,0,3.919,null
Fred Davis,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Harry Douglas,WR,TEN,WR,TEN,null,4.3243,null,null,null,99,null,null,0.0608,null,null,null,6.7093,2.0561,6.1157,null
Jerome Felton,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matt Forte,RB,NYJ,RB,NYJ,null,13.846,null,null,null,12,null,null,0.182,null,null,null,15.4795,11.47,null,null
Chad Henne,QB,JAC,QB,JAC,null,1.1741,null,null,null,39,null,null,0.1679,null,null,null,2.6519,0.066,7.4378,null
Chris Johnson,RB,ARI,RB,ARI,null,4.2469,null,null,null,66,null,null,0.27,null,null,null,6.1913,2.82,4.5338,null
Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Darren McFadden,RB,DAL,RB,DAL,null,-0.4513,null,null,null,245,null,null,null,null,null,null,-0.1822,-1,null,null
Matt Ryan,QB,ATL,QB,ATL,null,18.3414,null,null,null,13,null,null,0.2913,null,null,null,19.23,17.272,6.1153,null
Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Jacob Tamme,TE,ATL,TE,ATL,null,6.5394,null,null,null,27,null,null,0.2352,null,null,null,7.6563,4.5,3.9736,null
Matt Flynn,QB,NO,QB,NO,null,0.0045,null,null,null,72,null,null,0.0015,null,null,null,0.0068,0,3.5495,null
Joe Flacco,QB,BAL,QB,BAL,null,15.5933,null,null,null,23,null,null,0.287,null,null,null,16.6896,12.4305,6.3941,null
Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Jamaal Charles,RB,KC,RB,KC,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
