PLAYER,TEAM,POS,AUC12,AUC8
Andrew Luck,IND,QB,94,85
Aaron Rodgers,GB,QB,87,77
Russell Wilson,SEA,QB,60,45
Peyton Manning,DEN,QB,58,42
Drew Brees,NO,QB,54,39
Matt Ryan,ATL,QB,38,25
Cam Newton,CAR,QB,29,14
Ben Roethlisberger,PIT,QB,25,9
Tony Romo,DAL,QB,25,9
Matthew Stafford,DET,QB,23,7
Ryan Tannehill,MIA,QB,19,5
Philip Rivers,SD,QB,15,1
Eli Manning,NYG,QB,12,0
Colin Kaepernick,SF,QB,11,0
Tom Brady,NE,QB,9,0
Joe Flacco,BAL,QB,6,0
Jay Cutler,CHI,QB,5,0
Teddy Bridgewater,MIN,QB,3,0
Carson Palmer,ARI,QB,1,0
Sam Bradford,PHI,QB,0,0
Alex Smith,KC,QB,0,0
Andy Dalton,CIN,QB,0,0
Marcus Mariota,TEN,QB,0,0
Jameis Winston,TB,QB,0,0
Blake Bortles,JAC,QB,0,0
Derek Carr,OAK,QB,0,0
Nick Foles,STL,QB,0,0
Robert Griffin,WAS,QB,0,0
Josh McCown,CLE,QB,0,0
Brian Hoyer,HOU,QB,0,0
Ryan Fitzpatrick,NYJ,QB,0,0
Buffalo Bills,BUF,DST,4,4
Houston Texans,HOU,DST,3,3
Philadelphia Eagles,PHI,DST,3,3
Carolina Panthers,CAR,DST,3,3
Seattle Seahawks,SEA,DST,3,3
STL Rams,STL,DST,2,2
NE Patriots,NE,DST,1,1
Miami Dolphins,MIA,DST,1,1
Arizona Cardinals,ARI,DST,1,0
Indianapolis Colts,IND,DST,1,0
Baltimore Ravens,BAL,DST,1,0
TB Buccaneers,TB,DST,1,0
GB Packers,GB,DST,0,0
Jacksonville Jaguars,JAC,DST,0,0
Detroit Lions,DET,DST,0,0
Dallas Cowboys,DAL,DST,0,0
Denver Broncos,DEN,DST,0,0
NO Saints,NO,DST,0,0
Atlanta Falcons,ATL,DST,0,0
SF 49ers,SF,DST,0,0
Washington Redskins,WAS,DST,0,0
Cincinnati Bengals,CIN,DST,0,0
Minnesota Vikings,MIN,DST,0,0
Chicago Bears,CHI,DST,0,0
NY Jets,NYJ,DST,0,0
NY Giants,NYG,DST,0,0
Tennessee Titans,TEN,DST,0,0
Cleveland Browns,CLE,DST,0,0
Pittsburgh Steelers,PIT,DST,0,0
KC Chiefs,KC,DST,0,0
SD Chargers,SD,DST,0,0
Oakland Raiders,OAK,DST,0,0
Le'Veon Bell,PIT,RB,170,160
Matt Forte,CHI,RB,154,141
Jamaal Charles,KC,RB,151,136
Eddie Lacy,GB,RB,141,125
Adrian Peterson,MIN,RB,137,121
Marshawn Lynch,SEA,RB,134,117
C.J. Anderson,DEN,RB,119,99
Justin Forsett,BAL,RB,95,71
DeMarco Murray,PHI,RB,95,71
LeSean McCoy,BUF,RB,89,65
Jeremy Hill,CIN,RB,81,59
Lamar Miller,MIA,RB,73,51
Andre Ellington,ARI,RB,59,35
Mark Ingram,NO,RB,58,34
Frank Gore,IND,RB,58,33
Melvin Gordon,SD,RB,57,32
Latavius Murray,OAK,RB,55,31
Alfred Morris,WAS,RB,48,25
Carlos Hyde,SF,RB,48,25
T.J. Yeldon,JAC,RB,43,21
C.J. Spiller,NO,RB,42,20
Giovani Bernard,CIN,RB,41,20
Jonathan Stewart,CAR,RB,39,18
Joique Bell,DET,RB,34,14
Rashad Jennings,NYG,RB,33,14
Joseph Randle,DAL,RB,33,13
Ameer Abdullah,DET,RB,31,12
Devonta Freeman,ATL,RB,30,11
Arian Foster,HOU,RB,29,11
Todd Gurley,STL,RB,27,10
Tevin Coleman,ATL,RB,26,10
LeGarrette Blount,NE,RB,25,9
Chris Ivory,NYJ,RB,23,8
Shane Vereen,NYG,RB,22,7
Isaiah Crowell,CLE,RB,20,6
Doug Martin,TB,RB,15,3
Danny Woodhead,SD,RB,14,1
Charles Sims,TB,RB,12,0
Ryan Mathews,PHI,RB,11,0
Bishop Sankey,TEN,RB,10,0
Reggie Bush,SF,RB,10,0
Darren Sproles,PHI,RB,9,0
Alfred Blue,HOU,RB,9,0
Tre Mason,STL,RB,9,0
Roy Helu,OAK,RB,8,0
Duke Johnson,CLE,RB,5,0
Darren McFadden,DAL,RB,3,0
Denard Robinson,JAC,RB,3,0
Lance Dunbar,DAL,RB,3,0
Knile Davis,KC,RB,2,0
Lorenzo Taliaferro,BAL,RB,2,0
Matt Jones,WAS,RB,2,0
David Cobb,TEN,RB,2,0
Dexter McCluster,TEN,RB,2,0
Fred Jackson,BUF,RB,1,0
Dan Herron,IND,RB,1,0
David Johnson,ARI,RB,0,0
Ronnie Hillman,DEN,RB,0,0
Andre Williams,NYG,RB,0,0
Jonas Gray,NE,RB,0,0
Jerick McKinnon,MIN,RB,0,0
Bilal Powell,NYJ,RB,0,0
Theo Riddick,DET,RB,0,0
Benny Cunningham,STL,RB,0,0
James White,NE,RB,0,0
James Starks,GB,RB,0,0
Ray Rice,NA,RB,0,0
Damien Williams,MIA,RB,0,0
Terrance West,CLE,RB,0,0
Robert Turbin,SEA,RB,0,0
Chris Johnson,ARI,RB,0,0
DeAngelo Williams,PIT,RB,0,0
Mike Tolbert,CAR,RB,0,0
Branden Oliver,SD,RB,0,0
Javorius Allen,BAL,RB,0,0
Jacquizz Rodgers,CHI,RB,0,0
Toby Gerhart,JAC,RB,0,0
Marcel Reece,OAK,RB,0,0
Montee Ball,DEN,RB,0,0
Cameron Artis-Payne,CAR,RB,0,0
Bobby Rainey,TB,RB,0,0
Stevan Ridley,NYJ,RB,0,0
Khiry Robinson,NO,RB,0,0
Jonathan Grimes,HOU,RB,0,0
Josh Robinson,IND,RB,0,0
Jay Ajayi,MIA,RB,0,0
Leon Washington,NA,RB,0,0
Brandon Bolden,NE,RB,0,0
Bruce Miller,SF,RB,0,0
Fozzy Whittaker,CAR,RB,0,0
Chris Polk,HOU,RB,0,0
Darrel Young,WAS,RB,0,0
Zach Line,MIN,RB,0,0
Matt Asiata,MIN,RB,0,0
Kyle Juszczyk,BAL,RB,0,0
Antone Smith,ATL,RB,0,0
Dri Archer,PIT,RB,0,0
Shonn Greene,NA,RB,0,0
Austin Johnson,NO,RB,0,0
Joe Banyard,MIN,RB,0,0
Kendall Hunter,SF,RB,0,0
Ka'Deem Carey,CHI,RB,0,0
Patrick DiMarco,ATL,RB,0,0
Ryan Williams,DAL,RB,0,0
Trent Richardson,OAK,RB,0,0
John Kuhn,GB,RB,0,0
Derrick Coleman,SEA,RB,0,0
Stepfan Taylor,ARI,RB,0,0
Karlos Williams,BUF,RB,0,0
Anthony Sherman,KC,RB,0,0
Antonio Brown,PIT,WR,150,149
Demaryius Thomas,DEN,WR,132,127
Odell Beckham,NYG,WR,124,117
Julio Jones,ATL,WR,117,109
Dez Bryant,DAL,WR,112,103
Randall Cobb,GB,WR,103,93
Calvin Johnson,DET,WR,101,91
A.J. Green,CIN,WR,94,82
Alshon Jeffery,CHI,WR,82,67
T.Y. Hilton,IND,WR,74,59
