"","PLAYER","OWNER","POS.x","DFA","YRS","ACQ","KEEP","TEAM","FPTS","POS.y"
"1","A.J. GREEN","KT","WR","D",2,146,169,"CIN",176,"WR"
"2","AARON DOBSON",NA,NA,NA,NA,NA,NA,"NE",6.2,"WR"
"3","AARON RIPKOWSKI",NA,NA,NA,NA,NA,NA,"GB",0.6,"RB"
"4","AARON RODGERS","EVAN","QB","D ",1,140,147,"GB",321.3,"QB"
"5","ADAM THIELEN",NA,NA,NA,NA,NA,NA,"MIN",6,"WR"
"6","ADRIAN PETERSON","NICK","RB","D",2,173,200,"MIN",226.4,"RB"
"7","ADRIEN ROBINSON",NA,NA,NA,NA,NA,NA,"NYG",5.1,"TE"
"8","AHMAD BRADSHAW","PHILLY","RB","F",0,1,1,"",0,"RB"
"9","AJ MCCARRON",NA,NA,NA,NA,NA,NA,"CIN",0.6,"QB"
"10","ALAN BONNER",NA,NA,NA,NA,NA,NA,"HOU",4,"WR"
"11","ALBERT WILSON",NA,NA,NA,NA,NA,NA,"KC",44.4,"WR"
"12","ALEX SMITH","WILL","QB","F",1,1,4,"KC",230,"QB"
"13","ALEX SMITH","WILL","QB","F",1,1,4,"NO",3.5,"TE"
"14","ALFONSO SMITH",NA,NA,NA,NA,NA,NA,"",2.8,"RB"
"15","ALFRED BLUE","PHILLY","RB","F",1,0,4,"HOU",97.8,"RB"
"16","ALFRED MORRIS","PHILLY","RB","D",1,59,62,"WAS",166.1,"RB"
"17","ALLEN HURNS","EVAN","WR","F",1,0,4,"JAC",81.8,"WR"
"18","ALLEN ROBINSON","MAKI","WR","F",0,0,1,"JAC",117.5,"WR"
"19","ALSHON JEFFERY","FRED","WR","D",2,4,6,"CHI",170.6,"WR"
"20","AMARI COOPER",NA,NA,NA,NA,NA,NA,"OAK",121.6,"WR"
"21","AMEER ABDULLAH",NA,NA,NA,NA,NA,NA,"DET",122.6,"RB"
"22","ANDRE CALDWELL",NA,NA,NA,NA,NA,NA,"DEN",12.3,"WR"
"23","ANDRE ELLINGTON","BRUCE","RB","F",2,4,8,"ARI",149.7,"RB"
"24","ANDRE HOLMES",NA,NA,NA,NA,NA,NA,"OAK",47.7,"WR"
"25","ANDRE JOHNSON","NICK","WR","D",1,44,46,"IND",136.4,"WR"
"26","ANDRE ROBERTS",NA,NA,NA,NA,NA,NA,"WAS",50.7,"WR"
"27","ANDRE WILLIAMS","ERIC","RB","F",1,0,4,"NYG",70.3,"RB"
"28","ANDREW HAWKINS","KT","WR","F",1,0,4,"CLE",73.7,"WR"
"29","ANDREW LUCK","HANS","QB","D",2,50,58,"IND",326.7,"QB"
"30","ANDREW QUARLESS",NA,NA,NA,NA,NA,NA,"GB",43.1,"TE"
"31","ANDY DALTON",NA,NA,NA,NA,NA,NA,"CIN",221.4,"QB"
