playerId,playername,DKNAME,OwnName,DKPOS,TEAM,FCName
100029,49ers,49ers ,49ers,DST,SF,49ers
2552580,A.J. Derby,A.J. Derby,A.J. Derby,TE,NE,
2495450,A.J. Green,A.J. Green,A.J. Green,WR,CIN,A.J. Green
2532876,A.J. Jenkins,A.J. Jenkins,A.J. Jenkins,,FA,
2555362,Aaron Burbridge,Aaron Burbridge,Aaron Burbridge,WR,SF,
2539256,Aaron Dobson,Aaron Dobson,Aaron Dobson,,FA,
2556541,Aaron Green,Aaron Green,Aaron Green,,FA,
2543587,Aaron Murray,Aaron Murray,Aaron Murray,,FA,
2552477,Aaron Ripkowski,Aaron Ripkowski,Aaron Ripkowski,RB,GB,
2506363,Aaron Rodgers,Aaron Rodgers,Aaron Rodgers,QB,GB,Aaron Rodgers
2553895,Adam Humphries,Adam Humphries,Adam Humphries,WR,TB,Adam Humphries
2541785,Adam Thielen,Adam Thielen,Adam Thielen,WR,MIN,Adam Thielen
2507164,Adrian Peterson,Adrian Peterson,Adrian Peterson,RB,MIN,Adrian Peterson
2534752,Adrien Robinson,Adrien Robinson,Adrien Robinson,,FA,
2495560,Ahmad Bradshaw,Ahmad Bradshaw,Ahmad Bradshaw,,FA,
2543497,AJ McCarron,AJ McCarron,AJ McCarron,QB,CIN,
2553660,Akeem Hunt,Akeem Hunt,Akeem Hunt,,FA,
2550272,Albert Wilson,Albert Wilson,Albert Wilson,WR,KC,Albert Wilson
2495331,Aldrick Robinson,Aldrick Robinson,Aldrick Robinson,WR,ATL,Aldrick Robinson
2555430,Alex Collins,Alex Collins,Alex Collins,RB,SEA,
2556519,Alex Erickson,Alex Erickson,Alex Erickson,WR,CIN,
2506340,Alex Smith,Alex Smith,Alex Smith,QB,KC,Alex Smith
2543600,Alfred Blue,Alfred Blue,Alfred Blue,RB,HOU,Alfred Blue
2533457,Alfred Morris,Alfred Morris,Alfred Morris,RB,DAL,Alfred Morris
2550353,Allen Hurns,Allen Hurns,Allen Hurns,WR,JAC,Allen Hurns
2543509,Allen Robinson,Allen Robinson,Allen Robinson,WR,JAC,Allen Robinson
2553533,Alonzo Harris,Alonzo Harris,Alonzo Harris,,FA,
2533039,Alshon Jeffery,Alshon Jeffery,Alshon Jeffery,WR,CHI,Alshon Jeffery
2552487,Amari Cooper,Amari Cooper,Amari Cooper,WR,OAK,Amari Cooper
2552374,Ameer Abdullah,Ameer Abdullah,Ameer Abdullah,RB,DET,Ameer Abdullah
206,Andre Caldwell,Andre Caldwell,Andre Caldwell,,DET,
2553453,Andre Debose,Andre Debose,Andre Debose,,FA,
2539217,Andre Ellington,Andre Ellington,Andre Ellington,RB,ARI,Andre Ellington
2495453,Andre Holmes,Andre Holmes,Andre Holmes,WR,OAK,Andre Holmes
2505551,Andre Johnson,Andre Johnson,Andre Johnson,WR,TEN,Andre Johnson
497320,Andre Roberts,Andre Roberts,Andre Roberts,WR,DET,
2543565,Andre Williams,Andre Williams,Andre Williams,RB,SD,
2508097,Andrew Hawkins,Andrew Hawkins,Andrew Hawkins,WR,CLE,Andrew Hawkins
2533031,Andrew Luck,Andrew Luck,Andrew Luck,QB,IND,Andrew Luck
497258,Andrew Quarless,Andrew Quarless,Andrew Quarless,TE,DET,
2553829,Andrew Turzilli,Andrew Turzilli,Andrew Turzilli,,FA,
2495143,Andy Dalton,Andy Dalton,Andy Dalton,QB,CIN,Andy Dalton
2555432,Andy Janovich,Andy Janovich,Andy Janovich,RB,DEN,Andy Janovich
2556569,Andy Jones,Andy Jones,Andy Jones,,FA,
2505587,Anquan Boldin,Anquan Boldin,Anquan Boldin,WR,DET,Anquan Boldin
2555573,Anthony Dable,Anthony Dable,Anthony Dable,,FA,
497172,Anthony Dixon,Anthony Dixon,Anthony Dixon,,FA,
2495835,Anthony Fasano,Anthony Fasano,Anthony Fasano,TE,TEN,
497250,Anthony McCoy,Anthony McCoy,Anthony McCoy,,SEA,
2495340,Anthony Sherman,Anthony Sherman,Anthony Sherman,RB,KC,
89798,Antone Smith,Antone Smith,Antone Smith,,NYJ,
2550474,Antonio Andrews,Antonio Andrews,Antonio Andrews,RB,TEN,
2508061,Antonio Brown,Antonio Brown,Antonio Brown,WR,PIT,Antonio Brown
2505299,Antonio Gates,Antonio Gates,Antonio Gates,TE,SD,Antonio Gates
2553526,Antwan Goodley,Antwan Goodley,Antwan Goodley,,DAL,
79555,Arian Foster,Arian Foster,Arian Foster,RB,MIA,Arian Foster
497270,Arrelious Benn,Arrelious Benn,Arrelious Benn,WR,JAC,
2543714,Arthur Lynch,Arthur Lynch,Arthur Lynch,,FA,
2550454,Asante Cleveland,Asante Cleveland,Asante Cleveland,,FA,
2533349,Austin Davis,Austin Davis,Austin Davis,QB,DEN,
2553892,Austin Hill,Austin Hill,Austin Hill,,FA,
2555415,Austin Hooper,Austin Hooper,Austin Hooper,TE,ATL,Austin Hooper
2534437,Austin Johnson,Austin Johnson,Austin Johnson,,NO,
2543683,Austin Seferian-Jenkins,Austin Seferian-Jenkins,Austin Seferian-Jenkins,TE,TB,Austin Seferian-Jenkins
2553858,Austin Willis,Austin Willis,Austin Willis,,FA,
2541429,B.J. Daniels,B.J. Daniels,B.J. Daniels,,FA,
79625,Bear Pascoe,Bear Pascoe,Bear Pascoe,,NE,
