"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"A.J. Derby",2500,"TE","NE",0,"NE@Ari","08:30PM",1.8485,68,"0.1542",1.8615,0.6,"null"
"A.J. Green",8400,"WR","Cin",17.929,"Cin@NYJ","01:00PM",16.9286,14,"0.2235",19.0911,13.64,"7.1498"
"Aaron Dobson",3000,"WR","NE",3.388,"NE@Ari","08:30PM",0,192,"0",0,0,"2.931"
"Aaron Murray",5000,"QB","KC",0,"SD@KC","01:00PM",0,76,"0",0,0,"3.5681"
"Aaron Ripkowski",3000,"RB","GB",0.165,"GB@Jax","01:00PM",0.8337,115,"0.0238",1.3639,0.02,"4.8457"
"Aaron Rodgers",8500,"QB","GB",20.004,"GB@Jax","01:00PM",20.5604,4,"0.2192",21.4486,18.34,"3.6226"
"Adam Humphries",3000,"WR","TB",4.538,"TB@Atl","01:00PM",4.9701,94,"0.1468",7.42,0.94,"7.0159"
"Adam Thielen",3000,"WR","Min",2.076,"Min@Ten","01:00PM",2.1596,130,"0.1311",3.224,0.46,"6.1609"
"Adrian Peterson",7600,"RB","Min",17.147,"Min@Ten","01:00PM",15.7118,8,"0.7886",17.8552,10.2947,"2.9974"
"AJ McCarron",5000,"QB","Cin",8.705,"Cin@NYJ","01:00PM",0.5957,47,"0.1234",1.1731,0.04,"5.2265"
"Akeem Hunt",3000,"RB","Hou",2.438,"Chi@Hou","01:00PM",0,142,"0",0,0,"null"
"Albert Wilson",3600,"WR","KC",7.213,"SD@KC","01:00PM",6.8449,73,"0.1686",9.6963,4.83,"6.1255"
"Aldrick Robinson",3000,"WR","Atl",0,"TB@Atl","01:00PM",1.6683,137,"0.0687",2.9262,0,"4.8426"
"Alex Collins",3100,"RB","Sea",0,"Mia@Sea","04:05PM",0.9042,112,"0.05",1.6674,0.15,"3.8375"
"Alex Erickson",3000,"WR","Cin",0,"Cin@NYJ","01:00PM",0.3584,176,"0.0152",0.8332,0,"4.0381"
"Alex Smith",6500,"QB","KC",17.377,"SD@KC","01:00PM",19.1405,8,"0.2248",22.983,15.844,"9.4134"
"Alfred Blue",3600,"RB","Hou",7.741,"Chi@Hou","01:00PM",4.2851,64,"0.0641",7.7759,0.7404,"4.7337"
"Alfred Morris",3800,"RB","Dal",6.329,"NYG@Dal","04:25PM",5.1564,58,"0.3436",7.3181,2.7492,"4.9017"
"Allen Hurns",5800,"WR","Jax",16.073,"GB@Jax","01:00PM",10.9695,42,"0.0451",11.9171,9.611,"3.9216"
"Allen Robinson",8300,"WR","Jax",20.125,"GB@Jax","01:00PM",17.2732,11,"0.2043",19.9938,13.4938,"4.7227"
"Alshon Jeffery",7900,"WR","Chi",18.967,"Chi@Hou","01:00PM",16.7245,15,"0.1923",18.9003,13.2599,"5.5044"
"Amari Cooper",7200,"WR","Oak",14.294,"Oak@NO","01:00PM",18.5593,5,"0.8004",21.2398,15.74,"5.0958"
"Ameer Abdullah",4900,"RB","Det",7.438,"Det@Ind","04:25PM",9.4472,36,"0.2742",10.5577,7.25,"3.7815"
"Andre Caldwell",3000,"WR","Det",2.056,"Det@Ind","04:25PM",0.3693,175,"0.0124",0.7255,0,"3.923"
"Andre Debose",3000,"WR","Ind",0,"Det@Ind","04:25PM",0,192,"0",0,0,"2.931"
"Andre Ellington",4100,"RB","Ari",6.333,"NE@Ari","08:30PM",3.7371,68,"0.2216",4.4507,2.4358,"5.0137"
"Andre Holmes",3200,"WR","Oak",3.631,"Oak@NO","01:00PM",2.5527,124,"0.1002",3.7251,1,"4.423"
"Andre Johnson",3900,"WR","Ten",7.206,"Min@Ten","01:00PM",5.8717,83,"0.0669",7.9409,3.85,"6.1669"
"Andre Roberts",3000,"WR","Det",3.389,"Det@Ind","04:25PM",1.715,134,"0.0226",2.6214,0,"4.2171"
"Andre Williams",3000,"RB","NYG",2.213,"NYG@Dal","04:25PM",0.8585,113,"0.0166",1.4424,0,"8.2623"
"Andrew Hawkins",3800,"WR","Cle",6.95,"Cle@Phi","01:00PM",6.5594,76,"0.133",9.1757,3.97,"8.3409"
